date,price
05/30/2020,9,386.04
05/29/2020,9,375.08
05/28/2020,9,374.93
05/27/2020,9,357.47
05/26/2020,9,349.16
05/25/2020,9,346.36
05/24/2020,9,344.68
05/23/2020,9,338.29
05/22/2020,9,333.24
05/21/2020,9,330.93
05/20/2020,9,320.69
05/19/2020,9,316.02
05/18/2020,9,314.13
05/17/2020,9,300.92
05/16/2020,9,292.84
05/15/2020,9,290.96
05/14/2020,9,277.51
05/13/2020,9,277.21
05/12/2020,9,273.36
05/11/2020,9,271.33
05/10/2020,9,261.90
05/09/2020,9,261.00
05/08/2020,9,253.02
05/07/2020,9,241.90
05/06/2020,9,241.05
05/05/2020,9,238.70
05/04/2020,9,231.14
05/03/2020,9,212.28
05/02/2020,9,191.98
05/01/2020,9,187.22
04/30/2020,9,185.58
04/29/2020,9,185.06
04/28/2020,9,184.95
04/27/2020,9,183.42
04/26/2020,9,167.82
04/25/2020,9,162.51
04/24/2020,9,158.01
04/23/2020,9,151.18
04/22/2020,9,145.99
04/21/2020,9,140.03
04/20/2020,9,131.81
04/19/2020,9,126.09
04/18/2020,9,124.84
04/17/2020,9,121.60
04/16/2020,9,084.23
04/15/2020,9,080.33
04/14/2020,9,078.31
04/13/2020,9,072.85
04/12/2020,9,048.46
04/11/2020,9,007.44
04/10/2020,8,983.61
04/09/2020,8,941.45
04/08/2020,8,927.21
04/07/2020,8,912.83
04/06/2020,8,912.52
04/05/2020,8,909.59
04/04/2020,8,908.21
04/03/2020,8,895.75
04/02/2020,8,869.06
04/01/2020,8,865.39
03/31/2020,8,837.38
03/30/2020,8,825.34
03/29/2020,8,825.09
03/28/2020,8,812.48
03/27/2020,8,805.39
03/26/2020,8,797.67
03/25/2020,8,788.73
03/24/2020,8,788.54
03/23/2020,8,786.11
03/22/2020,8,760.29
03/21/2020,8,755.54
03/20/2020,8,744.21
03/19/2020,8,725.21
03/18/2020,8,704.63
03/17/2020,8,680.65
03/16/2020,8,672.78
03/15/2020,8,671.21
03/14/2020,8,658.99
03/13/2020,8,610.39
03/12/2020,8,599.76
03/11/2020,8,597.31
03/10/2020,8,563.26
03/09/2020,8,440.12
03/08/2020,8,405.57
03/07/2020,8,364.41
03/06/2020,8,189.77
03/05/2020,8,162.19
03/04/2020,8,161.94
03/03/2020,8,140.93
03/02/2020,8,111.15
03/01/2020,8,082.30
02/29/2020,8,033.26
02/28/2020,7,922.15
02/27/2020,7,913.62
02/26/2020,7,910.09
02/25/2020,7,878.31
02/24/2020,7,806.71
02/23/2020,7,796.97
02/22/2020,7,768.68
02/21/2020,7,679.42
02/20/2020,7,570.14
02/19/2020,7,550.48
02/18/2020,7,434.18
02/17/2020,7,410.45
02/16/2020,7,410.45
02/15/2020,7,345.38
02/14/2020,7,337.97
02/13/2020,7,303.82
02/12/2020,7,273.64
02/11/2020,7,260.92
02/10/2020,7,202.55
02/09/2020,7,186.87
02/08/2020,7,179.28
02/07/2020,7,121.31
02/06/2020,7,116.55
02/05/2020,7,092.29
02/04/2020,6,984.43
02/03/2020,6,965.62
02/02/2020,6,879.78
02/01/2020,6,879.44
01/31/2020,6,867.44
01/30/2020,6,862.54
01/29/2020,6,858.07
01/28/2020,6,845.56
01/27/2020,6,843.28
01/26/2020,6,797.40
01/25/2020,6,788.05
01/24/2020,6,738.72
01/23/2020,6,738.38
01/22/2020,6,719.39
01/21/2020,6,675.17
01/20/2020,6,640.45
01/19/2020,6,606.78
01/18/2020,6,467.25
01/17/2020,6,437.32
01/16/2020,6,436.64
01/15/2020,6,430.61
01/14/2020,6,245.62
01/13/2020,6,206.52
01/12/2020,6,191.65
01/11/2020,6,185.56
01/10/2020,5,925.54
01/09/2020,5,831.37
01/08/2020,5,573.08
01/07/2020,5,385.23
01/06/2020,5,245.42
01/05/2020,5,227.11
01/04/2020,5,201.07
01/03/2020,5,017.83
01/02/2020,5,002.58
