date,price
12/31/2021,47,169.37
12/30/2021,46,490.61
12/29/2021,47,623.87
12/28/2021,50,679.86
12/27/2021,50,802.61
12/26/2021,50,428.69
12/25/2021,50,854.92
12/24/2021,50,806.05
12/23/2021,48,626.34
12/22/2021,48,937.10
12/21/2021,46,886.08
12/20/2021,46,707.06
12/19/2021,46,853.87
12/18/2021,46,219.25
12/17/2021,47,653.73
12/16/2021,48,900.46
12/15/2021,48,379.75
12/14/2021,46,709.82
12/13/2021,50,114.74
12/12/2021,49,354.86
12/11/2021,47,264.63
12/10/2021,47,642.14
12/09/2021,50,450.08
12/08/2021,50,667.65
12/07/2021,50,581.83
12/06/2021,49,413.48
12/05/2021,49,201.52
12/04/2021,53,727.88
12/03/2021,56,509.16
12/02/2021,57,217.37
12/01/2021,56,907.96
11/30/2021,57,830.11
11/29/2021,57,291.91
11/28/2021,54,813.02
11/27/2021,53,736.43
11/26/2021,58,960.29
11/25/2021,57,165.42
11/24/2021,57,565.85
11/23/2021,56,304.55
11/22/2021,58,706.85
11/21/2021,59,730.51
11/20/2021,58,115.08
11/19/2021,56,896.13
11/18/2021,60,360.14
11/17/2021,60,139.62
11/16/2021,63,721.20
11/15/2021,65,521.29
11/14/2021,64,455.37
11/13/2021,64,158.12
11/12/2021,64,863.98
11/11/2021,64,978.89
11/10/2021,66,953.34
11/09/2021,67,549.73
11/08/2021,63,344.07
11/07/2021,61,554.92
11/06/2021,61,068.88
11/05/2021,61,460.08
11/04/2021,62,941.80
11/03/2021,63,254.34
11/02/2021,60,963.25
11/01/2021,61,320.45
10/31/2021,61,850.49
10/30/2021,62,239.36
10/29/2021,60,624.87
10/28/2021,58,470.73
10/27/2021,60,352.00
10/26/2021,63,032.76
10/25/2021,60,893.93
10/24/2021,61,368.34
10/23/2021,60,694.63
10/22/2021,62,237.89
10/21/2021,66,002.23
10/20/2021,64,284.59
10/19/2021,62,043.16
10/18/2021,61,548.80
10/17/2021,60,887.65
10/16/2021,61,609.53
10/15/2021,57,345.90
10/14/2021,57,372.83
10/13/2021,56,038.26
10/12/2021,57,526.83
10/11/2021,54,734.13
10/10/2021,54,952.82
10/09/2021,53,929.78
10/08/2021,53,802.14
10/07/2021,55,338.63
10/06/2021,51,486.66
10/05/2021,49,174.96
10/04/2021,48,208.91
10/03/2021,47,680.03
10/02/2021,48,137.47
10/01/2021,43,816.74
09/30/2021,41,551.27
09/29/2021,41,064.98
09/28/2021,42,200.90
09/27/2021,43,234.18
09/26/2021,42,721.63
09/25/2021,42,840.89
09/24/2021,44,894.30
09/23/2021,43,560.30
09/22/2021,40,677.95
09/21/2021,43,012.23
09/20/2021,47,261.41
09/19/2021,48,268.86
09/18/2021,47,273.53
09/17/2021,47,771.00
09/16/2021,48,158.91
09/15/2021,47,098.00
09/14/2021,44,960.05
09/13/2021,46,057.21
09/12/2021,45,206.63
09/11/2021,44,869.84
09/10/2021,46,396.66
09/09/2021,45,774.74
09/08/2021,46,827.76
09/07/2021,52,660.48
09/06/2021,51,769.00
09/05/2021,49,937.86
09/04/2021,50,009.32
09/03/2021,49,288.25
09/02/2021,48,807.85
09/01/2021,47,099.77
08/31/2021,47,024.34
08/30/2021,48,834.85
08/29/2021,48,911.25
08/28/2021,49,072.59
08/27/2021,46,894.55
08/26/2021,49,002.64
08/25/2021,47,727.26
08/24/2021,49,562.35
08/23/2021,49,291.68
08/22/2021,48,869.11
08/21/2021,49,327.07
08/20/2021,46,723.12
08/19/2021,44,741.88
08/18/2021,44,686.75
08/17/2021,45,936.46
08/16/2021,47,019.96
08/15/2021,47,096.67
08/14/2021,47,810.69
08/13/2021,44,439.69
08/12/2021,45,576.88
08/11/2021,45,599.70
08/10/2021,46,280.85
08/09/2021,43,791.93
08/08/2021,44,574.44
08/07/2021,42,832.80
08/06/2021,40,865.87
08/05/2021,39,744.52
08/04/2021,38,213.33
08/03/2021,39,178.40
08/02/2021,39,907.26
08/01/2021,41,460.84
07/31/2021,42,196.30
07/30/2021,40,027.48
07/29/2021,39,995.45
07/28/2021,39,503.19
07/27/2021,37,276.04
07/26/2021,35,384.03
07/25/2021,34,290.29
07/24/2021,33,593.73
07/23/2021,32,305.96
07/22/2021,32,138.87
07/21/2021,29,796.29
07/20/2021,30,838.29
07/19/2021,31,800.01
07/18/2021,31,533.88
07/17/2021,31,397.31
07/16/2021,31,841.55
07/15/2021,32,827.88
07/14/2021,32,723.85
07/13/2021,33,125.47
07/12/2021,34,254.02
07/11/2021,33,509.08
07/10/2021,33,811.24
07/09/2021,32,861.67
07/08/2021,33,889.61
07/07/2021,34,225.68
07/06/2021,33,723.51
07/05/2021,35,284.34
07/04/2021,34,665.57
07/03/2021,33,854.42
07/02/2021,33,549.60
07/01/2021,35,035.98
06/30/2021,35,908.39
06/29/2021,34,475.56
06/28/2021,34,679.12
06/27/2021,32,287.52
06/26/2021,31,594.66
06/25/2021,34,659.11
06/24/2021,33,682.80
06/23/2021,32,515.71
06/22/2021,31,622.38
06/21/2021,35,641.14
06/20/2021,35,563.14
06/19/2021,35,854.53
06/18/2021,38,099.48
06/17/2021,38,341.42
06/16/2021,40,168.69
06/15/2021,40,427.17
06/14/2021,39,016.97
06/13/2021,35,555.79
06/12/2021,37,340.14
06/11/2021,36,697.03
06/10/2021,37,389.52
06/09/2021,33,416.98
06/08/2021,33,589.52
06/07/2021,35,835.27
06/06/2021,35,538.61
06/05/2021,36,880.16
06/04/2021,39,242.48
06/03/2021,37,599.41
06/02/2021,36,699.92
06/01/2021,37,293.79
05/31/2021,35,658.59
05/30/2021,34,607.41
05/29/2021,35,684.16
05/28/2021,38,507.08
05/27/2021,39,316.89
05/26/2021,38,392.63
05/25/2021,38,795.78
05/24/2021,34,700.36
05/23/2021,37,531.45
05/22/2021,37,371.03
05/21/2021,40,596.95
05/20/2021,36,753.67
05/19/2021,42,944.98
05/18/2021,43,488.06
05/17/2021,46,415.90
05/16/2021,46,716.64
05/15/2021,49,855.50
05/14/2021,49,682.98
05/13/2021,49,735.43
05/12/2021,56,714.53
05/11/2021,55,847.24
05/10/2021,58,250.87
05/09/2021,58,877.39
05/08/2021,57,352.77
05/07/2021,56,413.95
05/06/2021,57,441.31
05/05/2021,53,252.16
05/04/2021,57,214.18
05/03/2021,56,620.27
05/02/2021,57,825.86
05/01/2021,57,714.66
04/30/2021,53,568.66
04/29/2021,54,858.09
04/28/2021,55,036.64
04/27/2021,54,030.30
04/26/2021,49,077.79
04/25/2021,50,052.83
04/24/2021,51,143.23
04/23/2021,51,739.81
04/22/2021,53,857.11
04/21/2021,56,471.13
04/20/2021,55,681.79
04/19/2021,56,191.59
04/18/2021,60,701.89
04/17/2021,61,529.92
04/16/2021,63,258.50
04/15/2021,63,075.20
04/14/2021,63,523.75
04/13/2021,59,890.02
04/12/2021,60,175.95
04/11/2021,59,846.23
04/10/2021,58,253.78
04/09/2021,58,326.56
04/08/2021,56,099.91
04/07/2021,58,186.51
04/06/2021,59,171.93
04/05/2021,58,760.88
04/04/2021,57,604.84
04/03/2021,59,397.41
04/02/2021,59,098.88
04/01/2021,58,926.56
03/31/2021,58,930.28
03/30/2021,57,750.13
03/29/2021,55,947.90
03/28/2021,55,974.94
03/27/2021,55,137.57
03/26/2021,51,683.01
03/25/2021,52,726.75
03/24/2021,54,710.49
03/23/2021,54,511.66
03/22/2021,57,517.89
03/21/2021,58,309.91
03/20/2021,58,332.26
03/19/2021,57,850.44
03/18/2021,58,893.08
03/17/2021,56,825.83
03/16/2021,55,840.79
03/15/2021,59,267.43
03/14/2021,61,221.13
03/13/2021,57,343.37
03/12/2021,57,821.22
03/11/2021,55,963.18
03/10/2021,54,824.01
03/09/2021,52,272.97
03/08/2021,51,174.12
03/07/2021,48,918.68
03/06/2021,48,899.23
03/05/2021,48,527.03
03/04/2021,50,522.30
03/03/2021,48,415.82
03/02/2021,49,612.11
03/01/2021,45,159.50
02/28/2021,46,194.02
02/27/2021,46,344.77
02/26/2021,47,180.46
02/25/2021,49,709.08
02/24/2021,48,835.09
02/23/2021,54,204.93
02/22/2021,57,532.74
02/21/2021,56,068.57
02/20/2021,55,887.34
02/19/2021,51,675.98
02/18/2021,52,140.97
02/17/2021,49,207.28
02/16/2021,47,944.46
02/15/2021,48,696.54
02/14/2021,47,114.51
02/13/2021,47,491.20
02/12/2021,47,877.04
02/11/2021,44,898.71
02/10/2021,46,469.76
02/09/2021,46,184.99
02/08/2021,38,886.83
02/07/2021,39,250.19
02/06/2021,38,138.39
02/05/2021,36,931.55
02/04/2021,37,475.11
02/03/2021,35,510.82
02/02/2021,33,533.20
02/01/2021,33,114.58
01/31/2021,34,270.88
01/30/2021,34,295.93
01/29/2021,34,318.67
01/28/2021,30,441.04
01/27/2021,32,564.03
01/26/2021,32,358.61
01/25/2021,32,285.80
01/24/2021,32,064.38
01/23/2021,32,985.76
01/22/2021,30,817.63
01/21/2021,35,549.40
01/20/2021,36,050.11
01/19/2021,36,642.23
01/18/2021,35,792.24
01/17/2021,36,163.65
01/16/2021,36,821.65
01/15/2021,39,156.71
01/14/2021,37,325.11
01/13/2021,33,915.12
01/12/2021,35,516.36
01/11/2021,38,346.53
01/10/2021,40,254.22
01/09/2021,40,788.64
01/08/2021,39,381.77
01/07/2021,36,833.88
01/06/2021,34,013.61
01/05/2021,31,977.04
01/04/2021,32,810.95
01/03/2021,32,129.41
01/02/2021,29,376.46
01/01/2021,28,994.01
