date,price
12/31/2022,16,603.67
12/30/2022,16,641.33
12/29/2022,16,552.32
12/28/2022,16,716.40
12/27/2022,16,919.29
12/26/2022,16,842.25
12/25/2022,16,847.51
12/24/2022,16,796.98
12/23/2022,16,829.64
12/22/2022,16,818.38
12/21/2022,16,904.53
12/20/2022,16,441.79
12/19/2022,16,759.04
12/18/2022,16,795.61
12/17/2022,16,646.98
12/16/2022,17,364.55
12/15/2022,17,813.64
12/14/2022,17,782.07
12/13/2022,17,206.44
12/12/2022,17,102.50
12/11/2022,17,129.71
12/10/2022,17,134.22
12/09/2022,17,232.15
12/08/2022,16,847.35
12/07/2022,17,089.51
12/06/2022,16,975.24
12/05/2022,17,128.89
12/04/2022,16,908.17
12/03/2022,17,090.10
12/02/2022,16,968.68
12/01/2022,17,168.00
11/30/2022,16,445.48
11/29/2022,16,217.64
11/28/2022,16,440.22
11/27/2022,16,463.88
11/26/2022,16,521.58
11/25/2022,16,602.27
11/24/2022,16,611.64
11/23/2022,16,195.59
11/22/2022,15,782.30
11/21/2022,16,291.22
11/20/2022,16,712.92
11/19/2022,16,696.22
11/18/2022,16,687.91
11/17/2022,16,670.43
11/16/2022,16,884.34
11/15/2022,16,617.48
11/14/2022,16,352.03
11/13/2022,16,799.72
11/12/2022,17,036.88
11/11/2022,17,583.25
11/10/2022,15,883.16
11/09/2022,18,543.76
11/08/2022,20,600.67
11/07/2022,20,924.62
11/06/2022,21,285.06
11/05/2022,21,144.83
11/04/2022,20,208.77
11/03/2022,20,162.69
11/02/2022,20,482.96
11/01/2022,20,494.90
10/31/2022,20,633.70
10/30/2022,20,817.98
10/29/2022,20,595.10
10/28/2022,20,287.96
10/27/2022,20,772.80
10/26/2022,20,092.24
10/25/2022,19,344.96
10/24/2022,19,567.77
10/23/2022,19,207.73
10/22/2022,19,172.38
10/21/2022,19,053.20
10/20/2022,19,138.09
10/19/2022,19,335.03
10/18/2022,19,550.47
10/17/2022,19,268.56
10/16/2022,19,068.91
10/15/2022,19,185.44
10/14/2022,19,382.53
10/13/2022,19,156.97
10/12/2022,19,052.65
10/11/2022,19,139.00
10/10/2022,19,446.42
10/09/2022,19,417.48
10/08/2022,19,546.33
10/07/2022,19,957.56
10/06/2022,20,161.04
10/05/2022,20,335.90
10/04/2022,19,623.58
10/03/2022,19,044.07
10/02/2022,19,311.85
10/01/2022,19,431.11
09/30/2022,19,573.43
09/29/2022,19,427.78
09/28/2022,19,104.62
09/27/2022,19,221.84
09/26/2022,18,803.90
09/25/2022,18,936.31
09/24/2022,19,296.99
09/23/2022,19,412.40
09/22/2022,18,534.65
09/21/2022,18,891.28
09/20/2022,19,545.59
09/19/2022,19,418.57
09/18/2022,20,127.23
09/17/2022,19,777.03
09/16/2022,19,704.01
09/15/2022,20,242.29
09/14/2022,20,184.55
09/13/2022,22,371.48
09/12/2022,21,770.15
09/11/2022,21,678.54
09/10/2022,21,376.91
09/09/2022,19,328.14
09/08/2022,19,289.94
09/07/2022,18,837.68
09/06/2022,19,817.72
09/05/2022,19,988.79
09/04/2022,19,832.47
09/03/2022,19,969.72
09/02/2022,20,126.07
09/01/2022,20,050.50
08/31/2022,19,799.58
08/30/2022,20,298.61
08/29/2022,19,615.15
08/28/2022,20,041.04
08/27/2022,20,262.48
08/26/2022,21,596.09
08/25/2022,21,395.46
08/24/2022,21,526.46
08/23/2022,21,401.04
08/22/2022,21,531.46
08/21/2022,21,160.39
08/20/2022,20,872.84
08/19/2022,23,213.31
08/18/2022,23,341.04
08/17/2022,23,881.32
08/16/2022,24,126.14
08/15/2022,24,318.32
08/14/2022,24,429.06
08/13/2022,24,402.19
08/12/2022,23,957.20
08/11/2022,23,948.35
08/10/2022,23,162.90
08/09/2022,23,811.48
08/08/2022,23,179.53
08/07/2022,22,963.51
08/06/2022,23,291.42
08/05/2022,22,626.83
08/04/2022,22,848.21
08/03/2022,22,981.30
08/02/2022,23,308.43
08/01/2022,23,336.72
07/31/2022,23,652.07
07/30/2022,23,796.82
07/29/2022,23,845.21
07/28/2022,22,933.64
07/27/2022,21,244.17
07/26/2022,21,361.12
07/25/2022,22,607.16
07/24/2022,22,465.51
07/23/2022,22,706.98
07/22/2022,23,163.75
07/21/2022,23,233.20
07/20/2022,23,393.19
07/19/2022,22,467.85
07/18/2022,20,781.91
07/17/2022,21,195.04
07/16/2022,20,834.10
07/15/2022,20,573.16
07/14/2022,20,211.47
07/13/2022,19,325.97
07/12/2022,19,970.47
07/11/2022,20,856.35
07/10/2022,21,591.08
07/09/2022,21,716.83
07/08/2022,21,637.15
07/07/2022,20,547.81
07/06/2022,20,194.62
07/05/2022,20,225.35
07/04/2022,19,297.31
07/03/2022,19,242.10
07/02/2022,19,274.84
07/01/2022,19,820.47
06/30/2022,20,108.31
06/29/2022,20,281.17
06/28/2022,20,731.54
06/27/2022,21,028.24
06/26/2022,21,496.49
06/25/2022,21,233.61
06/24/2022,21,084.65
06/23/2022,19,986.61
06/22/2022,20,719.41
06/21/2022,20,594.29
06/20/2022,20,553.37
06/19/2022,19,010.90
06/18/2022,20,473.43
06/17/2022,20,385.72
06/16/2022,22,576.30
06/15/2022,22,196.73
06/14/2022,22,487.99
06/13/2022,26,737.58
06/12/2022,28,373.51
06/11/2022,29,084.67
06/10/2022,30,110.33
06/09/2022,30,215.28
06/08/2022,31,151.48
06/07/2022,31,371.74
06/06/2022,29,910.28
06/05/2022,29,835.12
06/04/2022,29,706.14
06/03/2022,30,467.81
06/02/2022,29,794.89
06/01/2022,31,792.55
05/31/2022,31,723.87
05/30/2022,29,443.37
05/29/2022,29,019.87
05/28/2022,28,622.63
05/27/2022,29,251.14
05/26/2022,29,564.78
05/25/2022,29,653.13
05/24/2022,29,101.13
05/23/2022,30,309.40
05/22/2022,29,432.47
05/21/2022,29,199.86
05/20/2022,30,311.12
05/19/2022,28,720.36
05/18/2022,30,424.48
05/17/2022,29,862.41
05/16/2022,31,304.38
05/15/2022,30,098.59
05/14/2022,29,285.64
05/13/2022,29,030.91
05/12/2022,28,936.73
05/11/2022,31,016.18
05/10/2022,30,273.65
05/09/2022,34,060.02
05/08/2022,35,502.94
05/07/2022,36,042.50
05/06/2022,36,573.18
05/05/2022,39,695.75
05/04/2022,37,748.01
05/03/2022,38,528.11
05/02/2022,38,472.19
05/01/2022,37,713.27
04/30/2022,38,605.86
04/29/2022,39,768.62
04/28/2022,39,241.43
04/27/2022,38,120.30
04/26/2022,40,448.42
04/25/2022,39,472.61
04/24/2022,39,478.38
04/23/2022,39,738.72
04/22/2022,40,525.86
04/21/2022,41,371.52
04/20/2022,41,501.75
04/19/2022,40,828.18
04/18/2022,39,721.20
04/17/2022,40,417.78
04/16/2022,40,552.32
04/15/2022,39,939.40
04/14/2022,41,160.22
04/13/2022,40,123.57
04/12/2022,39,533.71
04/11/2022,42,201.04
04/10/2022,42,781.09
04/09/2022,42,282.08
04/08/2022,43,505.14
04/07/2022,43,207.50
04/06/2022,45,544.36
04/05/2022,46,624.51
04/04/2022,46,445.27
04/03/2022,45,859.13
04/02/2022,46,285.50
04/01/2022,45,554.16
03/31/2022,47,062.15
03/30/2022,47,456.90
03/29/2022,47,100.44
03/28/2022,46,821.85
03/27/2022,44,505.36
03/26/2022,44,349.86
03/25/2022,43,964.55
03/24/2022,42,886.65
03/23/2022,42,364.38
03/22/2022,41,074.11
03/21/2022,41,246.13
03/20/2022,42,191.41
03/19/2022,41,794.65
03/18/2022,40,944.84
03/17/2022,41,140.84
03/16/2022,39,335.57
03/15/2022,39,664.25
03/14/2022,37,846.32
03/13/2022,38,884.73
03/12/2022,38,794.46
03/11/2022,39,439.97
03/10/2022,41,974.07
03/09/2022,38,742.82
03/08/2022,38,059.90
03/07/2022,38,429.30
03/06/2022,39,404.20
03/05/2022,39,148.45
03/04/2022,42,458.14
03/03/2022,43,925.20
03/02/2022,44,357.62
03/01/2022,43,194.50
02/28/2022,37,706.00
02/27/2022,39,098.70
02/26/2022,39,213.08
02/25/2022,38,333.75
02/24/2022,37,278.57
02/23/2022,38,285.28
02/22/2022,37,068.77
02/21/2022,38,423.21
02/20/2022,40,118.10
02/19/2022,40,026.02
02/18/2022,40,552.13
02/17/2022,43,937.07
02/16/2022,44,578.28
02/15/2022,42,586.46
02/14/2022,42,157.40
02/13/2022,42,236.57
02/12/2022,42,412.30
02/11/2022,43,571.13
02/10/2022,44,347.80
02/09/2022,44,096.70
02/08/2022,43,854.65
02/07/2022,42,406.78
02/06/2022,41,441.12
02/05/2022,41,501.48
02/04/2022,37,149.27
02/03/2022,36,944.80
02/02/2022,38,743.71
02/01/2022,38,481.77
01/31/2022,37,920.28
01/30/2022,38,151.92
01/29/2022,37,780.71
01/28/2022,37,128.45
01/27/2022,36,841.88
01/26/2022,36,950.52
01/25/2022,36,654.80
01/24/2022,36,275.73
01/23/2022,35,047.36
01/22/2022,36,471.59
01/21/2022,40,699.61
01/20/2022,41,744.03
01/19/2022,42,374.04
01/18/2022,42,250.07
01/17/2022,43,118.12
01/16/2022,43,172.04
01/15/2022,43,101.90
01/14/2022,42,598.87
01/13/2022,43,946.74
01/12/2022,42,742.18
01/11/2022,41,819.51
01/10/2022,41,910.23
01/09/2022,41,734.73
01/08/2022,41,561.46
01/07/2022,43,153.57
01/06/2022,43,565.51
01/05/2022,45,899.36
01/04/2022,46,458.85
01/03/2022,47,343.54
01/02/2022,47,680.93
